provinsi_sasaran;divaksin_2
YOGYAKARTA;375801
SUMATERA UTARA;850261
SUMATERA SELATAN;353171
SUMATERA BARAT;399757
SULAWESI UTARA;146149
SULAWESI TENGGARA;71340
SULAWESI TENGAH;74955
SULAWESI SELATAN;389511
SULAWESI BARAT;42639
RIAU;201324
PAPUA BARAT;12680
PAPUA;22198
NUSA TENGGARA TIMUR;200522
NUSA TENGGARA BARAT;265869
MALUKU UTARA;38935
MALUKU;46627
LAMPUNG;429932
KEPULAUAN RIAU;64002
KEPULAUAN BANGKA BELITUNG;65987
KALIMANTAN UTARA;20764
KALIMANTAN TIMUR;130290
KALIMANTAN TENGAH;90528
KALIMANTAN SELATAN;163191
KALIMANTAN BARAT;172246
JAWA TIMUR;2923640
JAWA TENGAH;2547756
JAWA BARAT;2968574
JAMBI;135482
GORONTALO;38684
DKI JAKARTA;741970
BENGKULU;87007
BANTEN;483588
BALI;347933
ACEH;257091
;4405
