provinsi_sasaran;divaksin_1
YOGYAKARTA;1611632
SUMATERA UTARA;6016289
SUMATERA SELATAN;3450404
SUMATERA BARAT;2507388
SULAWESI UTARA;1066083
SULAWESI TENGGARA;1018750
SULAWESI TENGAH;1136159
SULAWESI SELATAN;3713657
SULAWESI BARAT;522114
RIAU;2847137
PAPUA BARAT;307855
PAPUA;519798
NUSA TENGGARA TIMUR;1980815
NUSA TENGGARA BARAT;2400601
MALUKU UTARA;535109
MALUKU;628680
LAMPUNG;3634074
KEPULAUAN RIAU;917357
KEPULAUAN BANGKA BELITUNG;622673
KALIMANTAN UTARA;307220
KALIMANTAN TIMUR;1599180
KALIMANTAN TENGAH;1172231
KALIMANTAN SELATAN;1806467
KALIMANTAN BARAT;2145316
JAWA TIMUR;17229135
JAWA TENGAH;15117435
JAWA BARAT;21080464
JAMBI;1482766
GORONTALO;530023
DKI JAKARTA;7579532
BENGKULU;858876
BANTEN;5358084
BALI;1889944
ACEH;2493430
;826538
