provinsi_sasaran;divaksin_2
YOGYAKARTA;282399
SUMATERA UTARA;1191023
SUMATERA SELATAN;619172
SUMATERA BARAT;123535
SULAWESI UTARA;126255
SULAWESI TENGGARA;117351
SULAWESI TENGAH;87832
SULAWESI SELATAN;375233
SULAWESI BARAT;29478
RIAU;398558
PAPUA BARAT;15783
PAPUA;34605
NUSA TENGGARA TIMUR;314539
NUSA TENGGARA BARAT;341953
MALUKU UTARA;28201
MALUKU;41548
LAMPUNG;564731
KEPULAUAN RIAU;167247
KEPULAUAN BANGKA BELITUNG;116263
KALIMANTAN UTARA;49698
KALIMANTAN TIMUR;288953
KALIMANTAN TENGAH;199092
KALIMANTAN SELATAN;222491
KALIMANTAN BARAT;250826
JAWA TIMUR;2506204
JAWA TENGAH;2823761
JAWA BARAT;3775977
JAMBI;218436
GORONTALO;47563
DKI JAKARTA;730692
BENGKULU;142668
BANTEN;667540
BALI;381539
ACEH;357926
;163
