id,kecamatan,desa,konfirmasi_total,konfirmasi_sembuh,konfirmasi_meninggal,kontak_erat,suspek
1,Rongga,Cicadas,7,7,0,0,0
2,Rongga,Cibedug,73,73,0,7,1
3,Rongga,Sukamanah,52,52,0,6,0
4,Rongga,Bojong,55,55,0,1,1
5,Rongga,Bojongsalam,11,11,0,7,1
6,Rongga,Cinengah,23,23,0,4,0
7,Rongga,Sukaresmi,15,15,0,1,1
8,Rongga,Cibitung,5,5,0,0,0
9,Gununghalu,Cilangari,8,8,0,1,0
10,Gununghalu,Sindangjaya,7,7,0,1,0
11,Gununghalu,Bunijaya,30,30,0,0,1
12,Gununghalu,Sirnajaya,81,81,0,3,6
13,Gununghalu,Gunung Halu,62,61,1,2,6
14,Gununghalu,Celak,53,52,1,11,8
15,Gununghalu,Wargasaluyu,21,21,0,7,1
16,Gununghalu,Sukasari,24,24,0,4,0
17,Gununghalu,Tamanjaya,10,9,1,4,3
18,Sindangkerta,Mekarwangi,14,14,0,5,0
19,Sindangkerta,Weninggalih,44,43,1,2,6
20,Sindangkerta,Wangunsari,24,23,1,9,2
21,Sindangkerta,Buninagara,8,8,0,0,1
22,Sindangkerta,Cikadu,93,93,0,27,4
23,Sindangkerta,Ranca Senggang,62,61,1,22,8
24,Sindangkerta,Cintakarya,111,109,2,19,3
25,Sindangkerta,Cicangkang girang,95,94,1,6,9
26,Sindangkerta,Puncaksari,36,36,0,7,0
27,Sindangkerta,Pasirpogor,48,48,0,4,3
28,Sindangkerta,Sindangkerta,98,97,1,29,4
29,Cililin,Karyamukti,9,9,0,0,0
30,Cililin,Nanggerang,7,7,0,0,0
31,Cililin,Mukapayung,69,69,0,16,13
32,Cililin,Rancapanggung,98,95,3,18,12
33,Cililin,Bongas,82,81,0,25,8
34,Cililin,Batulayang,114,113,1,3,17
35,Cililin,Cililin,317,312,5,72,60
36,Cililin,Karangtanjung,197,191,5,76,16
37,Cililin,Kidangpananjung,15,15,0,2,1
38,Cililin,Budiharja,45,47,2,26,10
39,Cililin,Karanganyar,14,13,1,1,7
40,Cihampelas,Singajaya,100,98,2,6,8
41,Cihampelas,Tanjungwangi,45,44,1,9,2
42,Cihampelas,Situwangi,27,24,3,0,8
43,Cihampelas,Pataruman,211,208,3,20,11
44,Cihampelas,Cipatik,79,76,3,19,2
45,Cihampelas,Citapen,196,186,10,18,29
46,Cihampelas,Cihampelas,215,206,9,28,9
47,Cihampelas,Mekarmukti,170,166,3,14,10
48,Cihampelas,Tanjungjaya,50,50,0,9,2
49,Cihampelas,Mekarjaya,91,89,1,30,7
50,Cipongkor,Cintaasih,8,8,0,1,3
51,Cipongkor,Karangsari,12,10,1,2,1
52,Cipongkor,Neglasari,18,18,0,9,0
53,Cipongkor,Girimukti,28,27,1,0,1
54,Cipongkor,Cijenuk,41,41,0,4,5
55,Cipongkor,Cicangkang Hilir,17,17,0,2,3
56,Cipongkor,Sukamulya,23,23,0,1,4
57,Cipongkor,Citalem,45,44,1,4,4
58,Cipongkor,Mekarsari,26,25,1,5,1
59,Cipongkor,Sarinagen,72,69,3,8,4
60,Cipongkor,Cibenda,8,8,0,5,8
61,Cipongkor,Cijambu,22,22,0,0,1
62,Cipongkor,Sirnagalih,16,16,0,3,0
63,Cipongkor,Baranangsiang,28,25,2,0,1
64,Batujajar,Selacau,162,162,0,9,6
65,Batujajar,Batujajar Barat,358,356,1,57,21
66,Batujajar,Batujajar Timur,361,360,1,38,5
67,Batujajar,Giriasih,197,196,1,6,6
68,Batujajar,Galanggang,331,328,3,32,4
69,Batujajar,Pangauban,196,195,1,18,3
70,Batujajar,Cangkorah,89,89,0,8,6
71,Saguling,Bojonghaleuang,73,73,0,6,0
72,Saguling,Cikande,77,77,0,2,0
73,Saguling,Girimukti,62,62,0,15,1
74,Saguling,Cipangeran,45,45,0,39,1
75,Saguling,Jati,49,49,0,14,0
76,Saguling,Saguling,35,35,0,36,1
77,Cipatat,Rajamandala Kulon,94,90,4,10,1
78,Cipatat,Ciptaharja,108,107,1,17,3
79,Cipatat,Cipatat,132,131,1,2,6
80,Cipatat,Citatah,151,151,0,0,2
81,Cipatat,Gunungmasigit,62,62,0,1,6
82,Cipatat,Cirawamekar,25,25,0,1,3
83,Cipatat,Nyalindung,105,105,0,37,3
84,Cipatat,Sumurbandung,40,40,0,5,3
85,Cipatat,Kertamukti,67,67,0,6,0
86,Cipatat,Sarimukti,32,29,3,0,1
87,Cipatat,Mandalasari,57,57,0,1,1
88,Cipatat,Mandalawangi,71,71,0,0,0
89,Padalarang,Laksanamekar,625,618,6,211,29
90,Padalarang,Cimerang,169,168,1,13,5
91,Padalarang,Cipeundeuy,680,679,1,176,44
92,Padalarang,Kertajaya,470,463,4,160,20
93,Padalarang,Jayamekar,511,499,10,71,20
94,Padalarang,Padalarang,1040,1029,10,113,30
95,Padalarang,Kertamulya,849,840,9,400,44
96,Padalarang,Ciburuy,264,260,4,56,10
97,Padalarang,Tagogapu,149,148,1,64,15
98,Padalarang,Campakamekar,240,236,3,78,9
99,Ngamprah,Cimareme,197,192,4,14,14
100,Ngamprah,Gadobangkong,248,245,2,28,7
101,Ngamprah,Tanimulya,886,871,10,69,62
102,Ngamprah,Pakuhaji,40,39,1,12,1
103,Ngamprah,Cilame,585,582,3,64,40
104,Ngamprah,Margajaya,186,182,3,13,9
105,Ngamprah,Mekarsari,311,308,3,9,8
106,Ngamprah,Ngamprah,180,177,3,3,6
107,Ngamprah,Sukatani,292,289,2,0,17
108,Ngamprah,Cimanggu,47,47,0,0,4
109,Ngamprah,Bojongkoneng,220,219,1,4,7
110,Parongpong,Ciwaruga,1045,1040,5,34,11
111,Parongpong,Cihideung,335,330,5,47,4
112,Parongpong,Cigugur Girang,515,513,2,21,2
113,Parongpong,Sariwangi,1559,1554,5,82,5
114,Parongpong,Cihanjuang,843,835,4,86,7
115,Parongpong,Cihanjuang Rahayu,265,265,0,17,2
116,Parongpong,Karyawangi,268,265,2,15,3
117,Lembang,Gudangkahuripan,629,620,7,135,92
118,Lembang,Wangunsari,274,271,3,8,7
119,Lembang,Pagerwangi,251,246,5,29,6
120,Lembang,Mekarwangi,144,142,1,4,0
121,Lembang,Langensari,370,366,4,112,23
122,Lembang,Kayuambon,495,490,2,17,15
123,Lembang,Lembang,792,788,4,56,33
124,Lembang,Cikahuripan,514,510,4,150,62
125,Lembang,Sukajaya,410,402,8,84,70
126,Lembang,Jayagiri,1091,1070,13,321,182
127,Lembang,Cibogo,412,408,4,18,8
128,Lembang,Cikole,472,468,3,26,11
129,Lembang,Cikidang,99,99,0,3,4
130,Lembang,Wangunharja,164,160,4,3,6
131,Lembang,Cibodas,345,340,5,15,33
132,Lembang,Suntenjaya,114,112,2,3,4
133,Cisarua,Pasirhalang,112,110,2,25,5
134,Cisarua,Jambudipa,614,605,9,197,28
135,Cisarua,Padaasih,362,354,8,95,9
136,Cisarua,Kertawangi,422,412,10,144,27
137,Cisarua,Tugumukti,54,54,0,12,18
138,Cisarua,Pasirlangu,120,116,4,6,22
139,Cisarua,Cipada,50,50,0,8,2
140,Cisarua,Sadangmekar,15,15,0,3,2
141,Cikalongwetan,Kanangasari,17,17,0,3,6
142,Cikalongwetan,Mandalasari,171,170,1,32,31
143,Cikalongwetan,Mekarjaya,107,106,1,5,9
144,Cikalongwetan,Cipada,36,36,0,28,4
145,Cikalongwetan,Ganjarsari,49,46,3,3,13
146,Cikalongwetan,Mandalamukti,236,231,5,43,62
147,Cikalongwetan,Ciptagumati,186,185,1,57,27
148,Cikalongwetan,Cikalong,62,62,0,12,24
149,Cikalongwetan,Rende,81,80,1,3,17
150,Cikalongwetan,Puteran,18,17,1,2,4
151,Cikalongwetan,Tenjolaut,21,21,0,1,10
152,Cikalongwetan,Cisomang Barat,112,111,1,41,14
