id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kategori_anak,jenis_kelamin,jumlah_anak,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK YATIM,PEREMPUAN,20,ORANG,2021
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK YATIM,LAKI-LAKI,13,ORANG,2021
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK PIATU,LAKI-LAKI,3,ORANG,2021
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK PIATU,PEREMPUAN,6,ORANG,2021
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK YATIM PIATU,LAKI-LAKI,2,ORANG,2021
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANAK YATIM PIATU,PEREMPUAN,2,ORANG,2021
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK YATIM,PEREMPUAN,12,ORANG,2021
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK YATIM,LAKI-LAKI,6,ORANG,2021
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK PIATU,LAKI-LAKI,1,ORANG,2021
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK PIATU,PEREMPUAN,3,ORANG,2021
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK YATIM PIATU,LAKI-LAKI,1,ORANG,2021
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANAK YATIM PIATU,PEREMPUAN,2,ORANG,2021
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK YATIM,PEREMPUAN,1,ORANG,2021
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK YATIM,LAKI-LAKI,3,ORANG,2021
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK PIATU,LAKI-LAKI,0,ORANG,2021
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK PIATU,PEREMPUAN,4,ORANG,2021
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK YATIM,PEREMPUAN,3,ORANG,2021
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK YATIM,LAKI-LAKI,1,ORANG,2021
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK PIATU,LAKI-LAKI,2,ORANG,2021
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK PIATU,PEREMPUAN,2,ORANG,2021
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK YATIM,PEREMPUAN,14,ORANG,2021
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK YATIM,LAKI-LAKI,9,ORANG,2021
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK PIATU,LAKI-LAKI,5,ORANG,2021
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK PIATU,PEREMPUAN,1,ORANG,2021
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK YATIM PIATU,LAKI-LAKI,4,ORANG,2021
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,ANAK YATIM PIATU,PEREMPUAN,1,ORANG,2021
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK YATIM,PEREMPUAN,9,ORANG,2021
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK YATIM,LAKI-LAKI,5,ORANG,2021
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK PIATU,LAKI-LAKI,3,ORANG,2021
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK PIATU,PEREMPUAN,1,ORANG,2021
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK YATIM PIATU,LAKI-LAKI,3,ORANG,2021
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,ANAK YATIM PIATU,PEREMPUAN,2,ORANG,2021
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK YATIM,PEREMPUAN,5,ORANG,2021
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK YATIM,LAKI-LAKI,6,ORANG,2021
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK PIATU,LAKI-LAKI,4,ORANG,2021
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK PIATU,PEREMPUAN,1,ORANG,2021
41,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
42,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
43,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,ANAK YATIM,PEREMPUAN,1,ORANG,2021
44,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,ANAK YATIM,LAKI-LAKI,4,ORANG,2021
45,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,ANAK PIATU,LAKI-LAKI,1,ORANG,2021
