tanggal,positif,negatif,inconclusive,jumlah_sampel,id
2020-05-27 00:00:00,0,2,0,2,1
2020-05-28 00:00:00,1,54,0,55,2
2020-05-29 00:00:00,35,314,0,349,3
2020-05-30 00:00:00,3,114,0,117,4
2020-05-31 00:00:00,1,135,0,136,5
2020-06-01 00:00:00,2,105,0,107,6
2020-06-02 00:00:00,23,567,0,590,7
2020-06-03 00:00:00,30,504,0,534,8
2020-06-04 00:00:00,17,399,1,417,9
2020-06-05 00:00:00,12,395,0,407,10
2020-06-06 00:00:00,27,431,0,458,11
2020-06-07 00:00:00,4,107,0,111,12
2020-06-08 00:00:00,38,403,0,441,13
2020-06-09 00:00:00,11,745,1,757,14
2020-06-10 00:00:00,7,230,0,237,15
2020-06-11 00:00:00,24,269,0,293,16
2020-06-12 00:00:00,12,230,0,242,17
2020-06-13 00:00:00,46,259,0,305,18
2020-06-14 00:00:00,48,237,0,285,19
2020-06-15 00:00:00,136,802,0,938,20
2020-06-16 00:00:00,109,1882,2,1993,21
2020-06-17 00:00:00,72,1204,3,1279,22
2020-06-18 00:00:00,86,524,3,613,23
2020-06-19 00:00:00,8,353,0,361,24
2020-06-20 00:00:00,9,246,0,255,25
2020-06-21 00:00:00,11,286,0,297,26
2020-06-22 00:00:00,31,687,2,720,27
2020-06-23 00:00:00,72,1070,1,1143,28
2020-06-24 00:00:00,42,889,2,933,29
2020-06-25 00:00:00,26,857,0,883,30
2020-06-26 00:00:00,39,845,0,884,31
2020-06-27 00:00:00,23,1026,0,1049,32
2020-06-28 00:00:00,11,566,1,578,33
2020-06-29 00:00:00,61,1157,0,1218,34
2020-06-30 00:00:00,80,1631,0,1711,35
2020-07-01 00:00:00,40,1030,2,1072,36
2020-07-02 00:00:00,46,988,0,1034,37
2020-07-03 00:00:00,34,1153,1,1188,38
2020-07-04 00:00:00,19,428,0,447,39
2020-07-05 00:00:00,5,115,0,120,40
2020-07-06 00:00:00,68,1180,0,1248,41
2020-07-07 00:00:00,146,1135,0,1281,42
2020-07-08 00:00:00,86,2788,10,2884,43
2020-07-09 00:00:00,60,1383,15,1458,44
2020-07-10 00:00:00,96,1031,4,1131,45
2020-07-11 00:00:00,12,545,0,557,46
2020-07-12 00:00:00,2,121,0,123,47
2020-07-13 00:00:00,37,336,0,373,48
2020-07-14 00:00:00,44,350,0,394,49
2020-07-15 00:00:00,47,709,0,756,50
2020-07-16 00:00:00,30,1186,1,1217,51
2020-07-17 00:00:00,66,531,0,597,52
2020-07-18 00:00:00,36,1145,0,1181,53
2020-07-19 00:00:00,10,1110,14,1134,54
2020-07-20 00:00:00,24,1521,1,1546,55
2020-07-21 00:00:00,71,2968,1,3040,56
2020-07-22 00:00:00,87,1641,0,1728,57
2020-07-23 00:00:00,95,1034,3,1132,58
2020-07-24 00:00:00,47,657,0,704,59
2020-07-25 00:00:00,46,615,0,661,60
2020-07-26 00:00:00,8,432,1,441,61
2020-07-27 00:00:00,78,531,7,616,62
2020-07-28 00:00:00,136,705,0,841,63
2020-07-29 00:00:00,81,1490,1,1572,64
2020-07-30 00:00:00,107,1359,3,1469,65
2020-07-31 00:00:00,78,1098,1,1177,66
2020-08-01 00:00:00,49,327,0,376,67
2020-08-02 00:00:00,62,478,0,540,68
2020-08-03 00:00:00,78,687,5,770,69
2020-08-04 00:00:00,149,1306,2,1457,70
2020-08-05 00:00:00,162,1437,11,1610,71
2020-08-06 00:00:00,135,1295,1,1431,72
2020-08-07 00:00:00,174,1193,5,1372,73
2020-08-08 00:00:00,235,954,0,1189,74
2020-08-09 00:00:00,194,243,0,437,75
2020-08-10 00:00:00,36,319,1,356,76
2020-08-11 00:00:00,113,858,3,974,77
2020-08-12 00:00:00,179,797,2,978,78
2020-08-13 00:00:00,197,1508,6,1711,79
2020-08-14 00:00:00,433,1472,4,1909,80
2020-08-15 00:00:00,198,908,0,1106,81
2020-08-16 00:00:00,52,300,0,352,82
2020-08-17 00:00:00,42,318,0,360,83
2020-08-18 00:00:00,79,403,1,483,84
2020-08-19 00:00:00,155,1155,4,1314,85
2020-08-20 00:00:00,207,853,4,1064,86
2020-08-21 00:00:00,77,739,2,818,87
2020-08-22 00:00:00,110,996,0,1106,88
2020-08-23 00:00:00,42,602,3,647,89
2020-08-24 00:00:00,109,753,1,863,90
2020-08-25 00:00:00,259,2139,14,2412,91
2020-08-26 00:00:00,170,1206,5,1381,92
2020-08-27 00:00:00,138,1284,0,1422,93
2020-08-28 00:00:00,366,1565,9,1940,94
2020-08-29 00:00:00,322,1366,10,1698,95
2020-08-30 00:00:00,79,312,0,391,96
2020-08-31 00:00:00,122,1024,4,1150,97
2020-09-01 00:00:00,293,1635,7,1935,98
2020-09-02 00:00:00,421,1675,20,2116,99
2020-09-03 00:00:00,385,1383,10,1778,100
2020-09-04 00:00:00,237,1335,6,1578,101
2020-09-05 00:00:00,219,780,24,1023,102
2020-09-06 00:00:00,136,592,1,729,103
2020-09-07 00:00:00,228,897,9,1134,104
2020-09-08 00:00:00,490,1288,27,1805,105
2020-09-09 00:00:00,373,1202,24,1599,106
2020-09-10 00:00:00,453,1291,16,1760,107
2020-09-11 00:00:00,353,1103,13,1469,108
2020-09-12 00:00:00,330,912,16,1258,109
2020-09-13 00:00:00,75,923,2,1000,110
2020-09-14 00:00:00,143,876,7,1026,111
2020-09-15 00:00:00,275,1433,7,1715,112
2020-09-16 00:00:00,334,1549,14,1897,113
2020-09-17 00:00:00,269,1561,8,1838,114
2020-09-18 00:00:00,391,1637,46,2074,115
2020-09-19 00:00:00,289,1502,38,1829,116
2020-09-20 00:00:00,123,1670,1,1794,117
2020-09-21 00:00:00,150,1027,2,1179,118
2020-09-22 00:00:00,283,1462,14,1759,119
2020-09-23 00:00:00,341,1563,24,1928,120
2020-09-24 00:00:00,475,1924,19,2418,121
2020-09-25 00:00:00,281,1699,11,1991,122
2020-09-26 00:00:00,303,1534,2,1839,123
2020-09-27 00:00:00,100,835,1,936,124
2020-09-28 00:00:00,241,716,30,987,125
2020-09-29 00:00:00,603,1093,121,1817,126
2020-09-30 00:00:00,631,1415,72,2118,127
2020-10-01 00:00:00,575,1947,30,2552,128
2020-10-02 00:00:00,396,1909,24,2329,129
2020-10-03 00:00:00,231,2037,4,2272,130
2020-10-04 00:00:00,240,1279,3,1522,131
2020-10-05 00:00:00,174,1187,5,1366,132
2020-10-06 00:00:00,352,2092,7,2451,133
2020-10-07 00:00:00,405,2714,11,3130,134
2020-10-08 00:00:00,370,2998,21,3389,135
2020-10-09 00:00:00,345,3578,26,3949,136
2020-10-10 00:00:00,402,2771,18,3191,137
2020-10-11 00:00:00,218,1670,5,1893,138
2020-10-12 00:00:00,168,1716,13,1897,139
2020-10-13 00:00:00,513,2926,50,3489,140
2020-10-14 00:00:00,537,3051,54,3642,141
2020-10-15 00:00:00,435,2497,47,2979,142
2020-10-16 00:00:00,370,2544,56,2970,143
2020-10-17 00:00:00,396,2017,26,2439,144
